GE13033	无机非金属材料漫谈
GE13050	现代生活中的材料赏析
GE14166	无处不在的材料
GE14203	智能材料与现代科技
MS04018	材料物理化学（1）
MS04106	材料科学基础
MS04202	冶金传输原理
MS04213	固体物理基础
MS05104	先进装备材料
MS05105	功能材料
MS05106	工程材料学
MS05202	材料测试技术B
MS05204	金属塑性加工原理
MS06102	无损检测
MS06107	材料表面工程
MS06109	焊接工程基础
MS06111	塑性加工技术
MS06122	新型炭材料
MS06133	高分子合成原理与工艺
MS06140	电池工艺学
MS06143	材料化学分析方法
MS06144	材料模拟计算
MS07111	能源新材料
MS07112	应用电化学
MS07113	薄膜与电子材料
MS07114	纳米材料与技术
MS07121	高分子化学
MS07122	高分子物理
MS07123	聚合物成型与加工
MS07131	炭素工艺学
MS07132	陶瓷工艺学
MS07133	热工设备
MS07134	无机材料物理化学
MS07141	液态成形原理
MS07142	金属塑性成形原理
MS07143	金属热处理原理与工艺
MS07144	金属学原理
MS07202	材料成形设备
MS07204	铸造工艺学
MS10106	毕业(实习)及论文
MS10107	创新实践
MS10208	毕业（实习）及论文
MS10211	材料学科基础实验(3)
MS10215	材料学科金相平台实验（1）
A2009301M	现代通信理论基础
A2009308M	电子信息前沿技术专题
EC04013	电磁场与波
EC04015	模拟电子技术实验
EC04017	数字电子技术实验
EC04025	传感与检测技术
EC04028	导师课程
EC04030	模拟电子技术基础
EC04031	数字电子技术基础
EC05007	过程控制与仪表
EC05012	通信电路
EC05013	通信原理
EC05014	数字信号处理
EC05015	测控电路
EC05016	电气测量技术
EC05019	电力系统基础
EC05020	计算机控制技术
EC05021	电机与拖动基础
EC06002	电气工程CAD技术
EC06006	电力技术经济
EC06013	发电厂动力部分
EC06025	系统辨识
EC06027	现场总线技术及应用
EC06031	运动控制系统
EC06042	新能源发电技术
EC06066	射频电子电路
EC06069	集成电路设计软件模拟与仿真
EC06074	C++面向对象程序设计
EC06082	虚拟仪器
EC06083	智能仪器
EC06084	过程控制与自动化仪表B
EC06086	发电厂电气主系统
EC06088	高电压技术
EC06092	电机控制技术
EC06093	电机设计
EC06101	电力系统过电压
EC06108	电子系统创新设计与工程实践(2)
EC06199	超导电力技术
EC06251	工程数值计算
EC06261	电子信息材料与元器件
EC07013	现代控制理论
EC10006	毕业实习
EC10008	微机应用系统综合设计
EC10009	认识实习
EC10010	生产实习
EC10015	毕业设计
EI04057	电路实验
EI05011N	嵌入式系统及其应用
EI06019	DSP技术及其应用
EI06026	数字图像处理
EI07003	信息论与编码技术
EI07006	计算机网络
GE02059	电工电子学
GE14204	信息时代的武器装备
IA06011	人工智能导论
MOOC060	创新创业
CS06188	保密法
GE14041	法律与艺术
GE14135	《理想国》导读
GE14141	消费者权益保护法
GE14158	创新的价值：知识产权与科技变革
GE14200	生态环境保护法
GE15144	法律与文学
LA03014	公共政策分析
LA03022	行政法
LA03042	刑事诉讼法
LA03044	刑法总论
LA03046	国际私法
LA04006	刑事诉讼法
LA04016	经济法学
LA04018	婚姻家庭与继承法
LA04020	合同法
LA04022	商法概论
LA05003	国际私法
LA05011	环境与资源保护法
LA05012	劳动与社会保障法
LA06002	公司法
LA06003	金融法
LA06005	证据法学
LA06008	犯罪学
LA06009	海商法
LA06012	财税法
LA06017	仲裁理论与实务
LA06029	破产法
LA06030	电子商务法
LA06031	监狱学
LA06038	证券法
LA06040	合同法分论
LA06046	民法案例研习I
LA06048	刑法案例研习I
LA06053	法学经典导读
LA06055	社会学经典导读
LA06056	中国古代历史
LA06063	网络法学
LA06067	劳动法
LA10006N	论文写作指导
LA10009	学年论文
LA10010	毕业实习
LA10011	毕业论文
LA10014	毕业实习（第二学位）
MOOC074	法说西游记
BA04012E	应用统计学（E）
BA04020	财务管理学
BA04030	运筹学
BA04032	组织行为学
BA04033	基础会计学
BA04041	数据挖掘与商务智能决策
BA04044	计量经济学
BA04045	金融工程学
BA04048	企业战略管理
BA04052	中级财务会计学（下）
BA04054	会计学
